     287  ! Number of wavelengths
n_imag = 5e-5
Wavelength (nm), R_diff (r=0.1 micron), R_diff(r=1 micron)
      382.000   0.00123324  0.000110736
      383.000   0.00127069  0.000114486
      384.000   0.00131202  0.000118462
      385.000   0.00135084  0.000122449
      386.000   0.00143785  0.000130541
      387.000   0.00148220  0.000134861
      388.000   0.00164698  0.000149793
      389.000   0.00168041  0.000153133
      390.000   0.00174320  0.000158953
      391.000   0.00184666  0.000168230
      392.000   0.00195835  0.000178101
      393.000   0.00214555  0.000194261
      394.000   0.00219068  0.000198306
      395.000   0.00214590  0.000194784
      396.000   0.00220613  0.000200094
      397.000   0.00229609  0.000207375
      398.000   0.00224517  0.000203026
      399.000   0.00223109  0.000201480
      400.000   0.00228998  0.000205894
      401.000   0.00233088  0.000208841
      402.000   0.00234693  0.000209211
      403.000   0.00239400  0.000212169
      404.000   0.00251921  0.000220644
      405.000   0.00256828  0.000223334
      406.000   0.00263559  0.000226830
      407.000   0.00271062  0.000229656
      408.000   0.00274604  0.000229393
      409.000   0.00282961  0.000231162
      410.000   0.00288509  0.000231958
      411.000   0.00291103  0.000229161
      412.000   0.00291789  0.000223757
      413.000   0.00295549  0.000221548
      414.000   0.00292330  0.000213887
      415.000   0.00288574  0.000206004
      416.000   0.00298751  0.000203314
      417.000   0.00302003  0.000196950
      418.000   0.00305395  0.000187297
      419.000   0.00306834  0.000180070
      420.000   0.00311779  0.000170313
      421.000   0.00311550  0.000155630
      422.000   0.00313999  0.000138705
      423.000   0.00315576  0.000115672
      424.000   0.00316203  0.000100844
      425.000   0.00313888  7.68581e-05
      426.000   0.00315103  5.72335e-05
      427.000   0.00314865  3.13661e-05
      428.000   0.00313883  2.50885e-06
      429.000   0.00313596 -3.25878e-05
      430.000   0.00314671 -7.53919e-05
      431.000   0.00311379 -0.000108225
      432.000   0.00304140 -0.000123923
      433.000   0.00297742 -0.000152702
      434.000   0.00296126 -0.000184902
      435.000   0.00295981 -0.000191526
      436.000   0.00293629 -0.000199337
      437.000   0.00290909 -0.000227634
      438.000   0.00380438  0.000385386
      439.000   0.00381962  0.000383191
      440.000   0.00367399  0.000381857
      441.000   0.00350153  0.000370711
      442.000   0.00364102  0.000385350
      443.000   0.00390186  0.000397519
      444.000   0.00406518  0.000408572
      445.000   0.00416140  0.000426495
      446.000   0.00416460  0.000433610
      447.000   0.00419800  0.000438715
      448.000   0.00425111  0.000452825
      449.000   0.00428716  0.000457525
      450.000   0.00441918  0.000487029
      451.000   0.00447013  0.000501705
      452.000   0.00451602  0.000506938
      453.000   0.00458238  0.000514965
      454.000   0.00466058  0.000523324
      455.000   0.00467458  0.000529861
      456.000   0.00468224  0.000534611
      457.000   0.00465903  0.000542469
      458.000   0.00462940  0.000554127
      459.000   0.00457527  0.000558749
      460.000   0.00464180  0.000565113
      461.000   0.00481103  0.000561958
      462.000   0.00494984  0.000554292
      463.000   0.00496221  0.000547466
      464.000   0.00503595  0.000554779
      465.000   0.00506860  0.000562609
      466.000   0.00514184  0.000571420
      467.000   0.00510076  0.000565708
      468.000   0.00514977  0.000556391
      469.000   0.00517202  0.000549843
      470.000   0.00519125  0.000545722
      471.000   0.00517322  0.000542751
      472.000   0.00522636  0.000548259
      473.000   0.00525670  0.000549951
      474.000   0.00523278  0.000541331
      475.000   0.00526954  0.000542372
      476.000   0.00527399  0.000557404
      477.000   0.00529836  0.000572757
      478.000   0.00522689  0.000602622
      479.000   0.00524202  0.000632054
      480.000   0.00520008  0.000657553
      481.000   0.00504861  0.000671232
      482.000   0.00488552  0.000677952
      483.000   0.00453188  0.000666907
      484.000   0.00367439  0.000590949
      485.000   0.00283511  0.000487773
      486.000   0.00256827  0.000455746
      487.000   0.00410326  0.000649939
      488.000   0.00525669  0.000711517
      489.000   0.00579193  0.000587362
      490.000   0.00552831  0.000452529
      491.000   0.00545655  0.000398712
      492.000   0.00546401  0.000359700
      493.000   0.00543757  0.000336051
      494.000   0.00534649  0.000311406
      495.000   0.00502316  2.74244e-05
      496.000   0.00510601  6.15680e-05
      497.000   0.00527720  0.000134918
      498.000   0.00545331  0.000168718
      499.000   0.00558637  0.000272504
      500.000   0.00581548  0.000360317
      501.000   0.00600736  0.000450693
      502.000   0.00619660  0.000566534
      503.000   0.00625619  0.000629925
      504.000   0.00630750  0.000719468
      505.000   0.00626772  0.000812845
      506.000   0.00618992  0.000878901
      507.000   0.00602928  0.000932849
      508.000   0.00555057  0.000942418
      509.000   0.00520997  0.000927280
      510.000   0.00515886  0.000929358
      511.000   0.00550817  0.000971365
      512.000   0.00624881   0.00102151
      513.000   0.00670747  0.000975069
      514.000   0.00663030  0.000782189
      515.000   0.00649129  0.000675482
      516.000   0.00644477  0.000649017
      517.000   0.00662975  0.000714081
      518.000   0.00690568  0.000888230
      519.000   0.00712562   0.00102098
      520.000   0.00727263   0.00115624
      521.000   0.00725131   0.00126716
      522.000   0.00727127   0.00130812
      523.000   0.00737059   0.00134079
      524.000   0.00752076   0.00136597
      525.000   0.00771945   0.00137133
      526.000   0.00786425   0.00134611
      527.000   0.00792716   0.00134929
      528.000   0.00797396   0.00135274
      529.000   0.00801757   0.00140072
      530.000   0.00802523   0.00146075
      531.000   0.00792449   0.00151207
      532.000   0.00762079   0.00152954
      533.000   0.00716190   0.00152491
      534.000   0.00659888   0.00146508
      535.000   0.00586630   0.00136922
      536.000   0.00479430   0.00117689
      537.000   0.00366197  0.000934009
      538.000   0.00258733  0.000684907
      539.000   0.00180002  0.000490359
      540.000   0.00113304  0.000315719
      541.000  0.000598488  0.000168578
      542.000  0.000296349  8.36665e-05
      543.000  0.000238673  6.69056e-05
      544.000  0.000419716  0.000120498
      545.000   0.00117220  0.000339106
      546.000   0.00309128  0.000854913
      547.000   0.00598374   0.00155365
      548.000   0.00815941   0.00197656
      549.000   0.00905840   0.00205873
      550.000   0.00914222   0.00199791
      551.000   0.00909246   0.00196823
      554.000   0.00930538   0.00216614
      557.000   0.00933939   0.00232108
      560.000   0.00950161   0.00238390
      563.000   0.00938724   0.00245840
      566.000   0.00866341   0.00242014
      569.000   0.00683372   0.00205049
      572.000   0.00502990   0.00159555
      575.000   0.00279584  0.000943897
      578.000   0.00345072   0.00117064
      605.000   0.00807417   0.00307312
      608.000   0.00449847   0.00180679
      611.000   0.00184968  0.000782371
      614.000  4.52047e-05  1.83343e-05
      617.000  7.00223e-06  8.44126e-07
      620.000  8.76960e-06  8.98845e-07
      623.000  2.46203e-05  7.52884e-06
      626.000   0.00164085  0.000742569
      629.000   0.00726991   0.00315833
      632.000   0.00969187   0.00419852
      635.000   0.00969104   0.00427232
      638.000   0.00862664   0.00389531
      642.000   0.00575646   0.00270288
      645.000   0.00608252   0.00289059
      648.000   0.00534172   0.00258796
      651.000   0.00370411   0.00184122
      654.000   0.00262266   0.00132858
      657.000   0.00121797  0.000632286
      660.000  0.000848376  0.000448127
      663.000  0.000427703  0.000230609
      666.000  0.000220698  0.000118789
      669.000  0.000309899  0.000171465
      672.000   0.00166166  0.000917851
      675.000   0.00558123   0.00306198
      678.000   0.00785309   0.00433482
      681.000   0.00451619   0.00256090
      684.000   0.00248039   0.00143864
      687.000   0.00390560   0.00228431
      690.000   0.00540372   0.00318728
      693.000   0.00521177   0.00311942
      696.000   0.00205504   0.00126438
      699.000  0.000246746  0.000156978
      702.000  1.29936e-05  8.32299e-06
      705.000  3.04619e-05  1.96785e-05
      708.000  0.000299272  0.000192499
      711.000   0.00104042  0.000678482
      714.000   0.00103815  0.000681618
      717.000  5.61169e-06  3.87796e-06
      720.000  2.20353e-06  5.95150e-07
      723.000  2.35944e-07  1.37634e-07
      726.000  1.47689e-06  3.90216e-07
      729.000  9.11259e-08  5.56881e-08
      733.000  1.76517e-07  1.05910e-07
      736.000  2.10646e-06  5.54600e-07
      739.000  6.63296e-05  4.73190e-05
      742.000   0.00194696   0.00142500
      745.000   0.00494510   0.00364466
      748.000   0.00520618   0.00388687
      751.000   0.00533236   0.00402623
      754.000   0.00566355   0.00432733
      757.000   0.00415099   0.00321139
      760.000   0.00198669   0.00155354
      763.000  0.000559952  0.000442286
      766.000  0.000254272  0.000202677
      769.000  0.000285501  0.000229830
      772.000  0.000140508  0.000114148
      775.000  2.79034e-05  2.27974e-05
      778.000  4.09672e-06  3.34058e-06
      781.000  5.27089e-07  3.99568e-07
      784.000  2.33726e-07  1.73869e-07
      787.000  2.69522e-07  2.04269e-07
      790.000  8.55000e-08  7.41000e-08
      793.000  2.88362e-07  2.20686e-07
      796.000  6.13714e-08  4.09143e-08
      802.000  2.94679e-09  2.94679e-09
      805.000  4.77369e-08  3.87862e-08
      808.000  1.73801e-06  1.57377e-06
      811.000  1.00597e-05  9.20594e-06
      814.000  0.000124624  0.000116057
      817.000  0.000615807  0.000587044
      821.000   0.00234557   0.00231310
      824.000   0.00305679   0.00307042
      827.000   0.00312158   0.00318089
      830.000   0.00471858   0.00489668
      833.000   0.00375864   0.00392299
      836.000  5.24421e-05  5.26836e-05
      839.000  2.24758e-08  2.24758e-08
      842.000  2.57737e-08  2.57737e-08
      845.000  1.04823e-06  1.06129e-06
      848.000  1.20909e-05  1.24356e-05
      851.000  8.10939e-06  8.40453e-06
      854.000  1.31961e-08  1.31961e-08
      857.000      0.00000      0.00000
      860.000      0.00000      0.00000
      863.000      0.00000      0.00000
      866.000      0.00000      0.00000
      869.000      0.00000      0.00000
      872.000      0.00000      0.00000
      875.000      0.00000      0.00000
      878.000      0.00000      0.00000
      881.000      0.00000      0.00000
      884.000      0.00000      0.00000
      887.000      0.00000      0.00000
      890.000      0.00000      0.00000
      893.000      0.00000      0.00000
      896.000      0.00000      0.00000
      899.000      0.00000      0.00000
      902.000      0.00000      0.00000
      905.000      0.00000      0.00000
      908.000      0.00000      0.00000
      912.000      0.00000      0.00000
      915.000      0.00000      0.00000
      918.000  9.74926e-08  1.24255e-07
      921.000  4.30012e-06  5.40743e-06
      924.000  9.93007e-05  0.000131082
      927.000  0.000453467  0.000630200
      930.000   0.00230584   0.00344040
      933.000   0.00457324   0.00712541
n_imag = 5e-4
Wavelength (nm), R_diff (r=0.1 micron), R_diff(r=1 micron)
      382.000   0.00101034 -0.000105707
      383.000   0.00103558 -0.000114686
      384.000   0.00106333 -0.000124753
      385.000   0.00108831 -0.000135144
      386.000   0.00115007 -0.000152816
      387.000   0.00117783 -0.000165783
      388.000   0.00129699 -0.000197339
      389.000   0.00131396 -0.000211661
      390.000   0.00135134 -0.000232501
      391.000   0.00141720 -0.000262196
      392.000   0.00148720 -0.000295759
      393.000   0.00160746 -0.000348790
      394.000   0.00162573 -0.000373717
      395.000   0.00157693 -0.000383396
      396.000   0.00160280 -0.000415120
      397.000   0.00164314 -0.000460771
      398.000   0.00159069 -0.000468896
      399.000   0.00155953 -0.000490420
      400.000   0.00157336 -0.000534983
      401.000   0.00157708 -0.000573070
      402.000   0.00155974 -0.000609851
      403.000   0.00156165 -0.000656739
      404.000   0.00160124 -0.000740871
      405.000   0.00159872 -0.000795414
      406.000   0.00159952 -0.000864947
      407.000   0.00159207 -0.000952922
      408.000   0.00156646  -0.00102179
      409.000   0.00154707  -0.00113326
      410.000   0.00152141  -0.00122324
      411.000   0.00147095  -0.00131136
      412.000   0.00140112  -0.00140447
      413.000   0.00135148  -0.00150442
      414.000   0.00126727  -0.00157391
      415.000   0.00117870  -0.00164118
      416.000   0.00111216  -0.00183192
      417.000   0.00103289  -0.00196455
      418.000  0.000920314  -0.00213952
      419.000  0.000831282  -0.00226555
      420.000  0.000713328  -0.00246412
      421.000  0.000566346  -0.00264340
      422.000  0.000393965  -0.00288509
      423.000  0.000179047  -0.00316870
      424.000  1.71571e-05  -0.00337736
      425.000 -0.000200938  -0.00362334
      426.000 -0.000392458  -0.00387534
      427.000 -0.000636130  -0.00417663
      428.000 -0.000901901  -0.00449902
      429.000  -0.00121294  -0.00488523
      430.000  -0.00160006  -0.00537980
      431.000  -0.00189016  -0.00570968
      432.000  -0.00202389  -0.00580040
      433.000  -0.00227718  -0.00605076
      434.000  -0.00256184  -0.00639057
      435.000  -0.00264690  -0.00649565
      436.000  -0.00273456  -0.00658044
      437.000  -0.00298075  -0.00686136
      438.000   0.00181305  -0.00183448
      439.000   0.00175615  -0.00192158
      440.000   0.00176534  -0.00174951
      441.000   0.00170403  -0.00163865
      442.000   0.00174129  -0.00174075
      443.000   0.00171101  -0.00206243
      444.000   0.00170059  -0.00225439
      445.000   0.00178491  -0.00225359
      446.000   0.00180451  -0.00223123
      447.000   0.00179780  -0.00227501
      448.000   0.00185295  -0.00226170
      449.000   0.00184142  -0.00231483
      450.000   0.00199184  -0.00226709
      451.000   0.00204916  -0.00224798
      452.000   0.00203304  -0.00231751
      453.000   0.00203486  -0.00238749
      454.000   0.00204252  -0.00246178
      455.000   0.00204654  -0.00246988
      456.000   0.00203807  -0.00248761
      457.000   0.00207151  -0.00241648
      458.000   0.00214582  -0.00228637
      459.000   0.00216388  -0.00220095
      460.000   0.00214448  -0.00229697
      461.000   0.00198097  -0.00269266
      462.000   0.00181954  -0.00305796
      463.000   0.00171010  -0.00321283
      464.000   0.00169027  -0.00331798
      465.000   0.00169091  -0.00335025
      466.000   0.00169784  -0.00342002
      467.000   0.00160093  -0.00349972
      468.000   0.00146152  -0.00373719
      469.000   0.00136033  -0.00389257
      470.000   0.00126055  -0.00404427
      471.000   0.00119176  -0.00411265
      472.000   0.00116331  -0.00420687
      473.000   0.00111173  -0.00430631
      474.000   0.00100583  -0.00441636
      475.000  0.000947899  -0.00453279
      476.000   0.00101349  -0.00444748
      477.000   0.00107568  -0.00438931
      478.000   0.00130398  -0.00400536
      479.000   0.00150113  -0.00375816
      480.000   0.00169157  -0.00345879
      481.000   0.00184477  -0.00308798
      482.000   0.00199155  -0.00271451
      483.000   0.00211020  -0.00216980
      484.000   0.00207176  -0.00128206
      485.000   0.00181776 -0.000696066
      486.000   0.00171574 -0.000535883
      487.000   0.00213131  -0.00166232
      488.000   0.00170057  -0.00348469
      489.000  0.000235194  -0.00600747
      490.000 -0.000747282  -0.00703022
