Aerosol-1
lambda, nimag_new, nimag_new_ferr, nimag_old, nimag_old_ferr
      400.000   0.00180040     0.354227  5.27040e-06     0.825251
      500.000  5.68250e-05     0.825623  2.16350e-06     0.790525
      600.000  0.000380960     0.453407  0.000202000    0.0658168
      700.000   0.00514030     0.122337   0.00113800    0.0331239
      800.000   0.00953190     0.108006   0.00179110    0.0784099
      900.000  0.000633620     0.899577  0.000383370     0.580744
      1000.00  0.000900370     0.976687   0.00175050     0.296550
Aerosol-2
lambda, nimag_new, nimag_new_ferr, nimag_old, nimag_old_ferr
      400.000  0.000766490     0.827382   0.00127060    0.0882733
      500.000  0.000630810     0.252992   0.00179260    0.0725483
      600.000  0.000129830     0.826311  9.70520e-05     0.873449
      700.000   0.00190450     0.201470  0.000224190     0.903876
      800.000   0.00493730    0.0987301  0.000218540     0.964446
      900.000  0.000708070     0.712698  0.000308890     0.908673
      1000.00   0.00173590     0.797396   0.00664790     0.199431
Aerosol-3
lambda, nimag_new, nimag_new_ferr, nimag_old, nimag_old_ferr
      400.000   0.00182000     0.608517   0.00761650     0.249340
      500.000  0.000412640     0.585304   0.00314240     0.329557
      600.000  0.000138010     0.913557   0.00130610     0.691065
      700.000  0.000212760     0.973538    0.0176720     0.177886
      800.000  0.000428360     0.959613    0.0348490     0.130549
      900.000  0.000900870     0.889995    0.0406130     0.170290
      1000.00   0.00104110     0.978100   0.00238890     0.876680
